url,description,name
,"The paper "","" by Dr Dongsun KIM 
(Post-doctorate Fellow), Mr Jaechang NAM (PG student), Mr Jaewoo SONG (PG 
student), and , has received a SIGSOFT 
Distinguished Paper Award at ICSE 2013 in San Francisco. ICSE, the 
International Conference on Software Engineering, is the premier software 
engineering conference.,Congratulations to Dr Kim, Jaechang, Jaewoo, and Prof Kim!,Remarks: This is the 3rd ACM SIGSOFT Distinguished Paper Award for Sung 
Kim.",CSE Won ACM SIGSOFT Distinguished Paper Award at ICSE 2013
,"The paper, ""Depth-presorted Triangle Lists"", by our PG student CHEN Ge, 
Prof Pedro SANDER, Prof Diego NEHAB, and former HKUST PG students YANG 
Lei, and HU Liang was selected as a notable paper in computing by the 
Association for Computing Machinery Computing Reviews in 2012. The list of 
Best of 2012 of Computing Reviews consists of book and article nominations 
from reviewers, CR category editors, the editors in chief of journals 
covered, and others in the computing community. The paper was the only one 
from the ACM Transactions on Graphics to make the list. Please view the ,.","CSE Graphics paper selected as Notable Paper by ACM Computing Reviews 
2012"
,"Among the top engineering schools worldwide, HKUST is ranked the 12th 
in the field of Computer Science by the prestigious QS World University 
Ranking 2013. It acknowledges the excellence of all CSE members in 
innovative research. See ,.","HKUST Maintains Excelling in Computer Science in the QS World 
University Ranking 2013"
,"For the third year in a row , taught the Android Application Development Hands-On Workshop 
for HKUST students on 30 & 31 May 2013. The workshop was organized by 
Dr. Muppala for the benefit of all HKUST students.,Over 40 students enthusiastically attended the two-day workshop. Over 
the course of two days the students were introduced to various aspects of 
Android application development through the coverage of both Android 
concepts and hands-on exercises. They learnt different aspects of 
designing an Android application, through a series of structured hands-on 
exercises.,Students' reaction to the workshop was overwhelmingly positive, as 
evidenced by the following students' comments from the end-of-workshop 
survey:,""Once again, I am truly humbled by the enthusiastic response of the 
students. This gives me encouragement to do more such activities in the 
future,"" said Dr. Muppala.","Android Application Development Hands-On Workshop 2013 Held by Dr. 
Muppala"
," has been elected one of the 
eight 2013 fellows of AAAI (,). This is 
the highest honour in the AI community, recognizing a small group of AAAI 
members who have made significant and sustained contributions to the field 
of artificial intelligence. The fellows are recognized as having unusual 
distinction in the profession. Prof Yang was recognized ""for significant 
contributions to AI Planning, Data Mining and Case-based Reasoning."",Prof Yang is the 1st AAAI Fellow in Greater China. This is the fourth 
fellowship that he has received. He is already an IEEE Fellow, an IAPR 
Fellow and an AAAS Fellow.,Read more information about ,.",Prof Qiang YANG Honoured the 1st AAAI Fellowship in Greater China
,"UG Students CHU Chun Yin, LEE Yuk Cheng, and WONG Lap Hin won the 1st 
Runner-up of the Hong Kong division in Pan-Pearl River Delta Region Hong 
Kong IT FYP Competition 2013 with their project ""Stock-mesh Cross-Platform 
Mobile Stock Quote Application"" supervised by ,. The team will represent Hong Kong in the final competition in 
Shenzhen during 28-30 June 2013.","UG Students Won the 1st Runner-up in Pan-Pearl River Delta Region Hong 
Kong IT FYP Competition 2013"
,"The annual School of Engineering (SENG) PhD Research Excellence Awards 
were launched in 2011. The awards are granted to PhD students who have 
made the most original and influential research achievements to knowledge 
in the discipline during their PhD studies at HKUST. There are currently 
about 650 PhD students across six departments in the school. After a 
rigorous review by the Engineering Research Committee, three winners have 
been selected. Dr Nan CAO from CSE (2012 PhD graduate supervised by ,) is one of those. The award 
presentation ceremony was held on 27 May 2013.","PhD Graduate Dr Nan CAO Awarded SENG PhD Research Excellence Award 
2012/13"
," was voted as one of 
the Best Ten Lecturers in the Best Ten Lecturers Election 2012 organized 
by VERTEX, a students' association of HKUSTSU. This is the 16th 
consecutive year for VERTEX to organize the election. The election was 
open to all undergraduate students of HKUST.",Prof Papadopoulos Stavros Voted Top Ten Lecturer by HKUST Students
,"HKUST has announced the recipients of the School of Engineering (SENG) 
Research Excellence Awards 2013. The recipients are outstanding scholars 
who have made significant discoveries at the forefront of engineering 
research.,Prof Dimitris Papadias is one of the three recipients this year. He has 
made significant contributions in spatial and spatio-temporal databases. 
His work covers indexing schemes, processing algorithms, spatio-temporal 
data warehouses, and introduction of novel query types, etc. He has 
successfully applied techniques from spatial databases to other domains, 
most notably skylines, and produced very influential results. His 
successful research contributions are evident in his top publication 
records, his citations and his prominent role in the database community, 
including the program chair of SIGMOD 2013.,The annual SENG Research Excellence Awards were launched in 2011 to 
recognize the impact and contributions of the School's faculty members. 
Selection criteria include research output, originality and 
innovativeness; impact of research outputs on society, industry and the 
relevant engineering disciplines; research training provided to students; 
and their leadership role in collaboration with national and international 
research partners.","Prof Dimitris Papadias Awarded HKUST School of Engineering Research 
Excellence Award"
,": An Innovative 
Multi-hop Wireless Network for Pervasive Wi-Fi Access led by , has won the Merit award in the Research 
and Development category of , (APICTA 
2012).,APICTA 2012 was held during 3-5 December 2012in Brunei. It is a 
prestigious ICT award program for the Asia Pacific region. This year 157 
entries from 16 participating economies (China, Australia, Singapore, and 
India included) were received for the event for Grand and Merit awards. 
The award in the Research and Development category recognizes the most 
outstanding ICT R&D project which caters the market needs.",Lavinet Recognized in APICTA 2012
,"Streamphony, the video streaming research by our research team led by 
Prof Gary Chan has successfully been commercialized. It enables the launch 
of the first mobile TV service called UTV in Hong Kong on 10 December 
2012.,Streamphony is able to distribute video streams in the Internet with 
much better video quality, lower bandwidth requirement, and lower hardware 
cost than all of its competitors. The streaming technology has been 
deployed by industrial leaders China Mobile Hong Kong and Mei Ah Digital 
Technology to roll out UTV allowing the broadcast of numerous live TV 
channels through the Internet. This innovative technology will be adopted 
to serve millions of users in the near future.","Hong Kong First mobile TV Channels Powered by Streamphony 
Technology"
,"The American Association for the Advancement of Science (,), the largest non-profit making 
science and engineering professional organization, has announced the list 
of AAAS Fellows. 701 members across the globe were elected as AAAS Fellows 
this year. Only 2 among the fellows are from institutions in Hong Kong. 
With his contribution to artificial intelligence and knowledge-discovery 
in databases, , is honoured to be one 
of the fellows.,The fellows will be recognized for their contributions to science and 
technology at AAAS Annual Meeting in February 2013 in Boston, 
Massachusetts. They will receive a certificate and a blue and gold rosette 
as a symbol of their distinguished accomplishments.,The list of the , in 
year 2012.",Prof Qiang YANG Honoured with AAAS Fellowship
,"The 9th International Workshop on Spoken Language Translation (IWSLT 
2012) was held at HKUST during 6-7 December 2012. IWSLT is a well-known 
scientific workshop held annually, in which numerous participating 
laboratories worldwide compare new models and results on shared challenge 
tasks in machine translation of human speech across many different 
languages. IWSLT 2012 featured forty scientific papers and three invited 
keynote talks.,More information on ,.",The 9th International Workshop on Spoken Language Translation
,"The Microsoft Research Asia (MSRA) Fellowship Program aims at 
empowering and encouraging outstanding PhD students in the Asia-Pacific 
region majoring in computer science, electrical engineering, information 
science, and applied mathematics to realize their potential in computer 
science-related research.,In the 13 years since the MSRA Fellowship Program started, around 850 
PhD candidates from 50 universities in the Asia-Pacific region have been 
attracted. PhD candidates from 45 research academic institutions were 
nominated in 2012. 10 outstanding candidates with exceptional talent and 
innovation in computer science-related research were recognized and 
granted the fellowship. We are very pleased that Yongxin Tong, CSE PhD 
candidate, is one of those selected. Each winner has an opportunity to 
complete an internship at Microsoft Research Asia in Beijing.,Yongxin is currently a PhD candidate in CSE supervised by Prof Lei 
CHEN. His research goal is to effectively discover and manage the hidden 
correlation and rules over massive uncertain data.",Microsoft Research Asia Fellowship 2012
,"3 best student paper awards were sponsored by the Shun Hing Institute 
of Advanced Engineering, the Chinese University of Hong Kong in the 8th 
International Symposium on Chinese Spoken Language Processing 
(ISCSLP-2012) held in December 2012. CSE PhD candidate Guoli YE was 
awarded one of those with his paper ""Speaker-Ensemble Hidden Markov 
Modeling for Automatic Speech Recognition"" co-authored by ,. More information on the ,.","PhD Candidate Guoli YE Awarded the Best Student Paper Award in 
ISCSLP-2012"
,"Prof Qian ZHANG and researchers from the Tsinghua University were 
recognized with the most prestigious awards in science and technology in 
China- State Natural Science Award (Second Class) bestowed by the State 
Council of the People's Republic of China. Their research project is 
titled ""Models for Joint Wireless Multimedia Communication and Performance 
Optimization"".,Prof Zhang and her partners have conducted collaborative research over 
the past decades from 1998 to 2008. Starting from the fundamental nature 
of the wireless multimedia communication, the team revealed the 
interaction between the structured nature of multimedia information and 
the dynamic characteristics of the error distribution in wireless 
networks, established the modeling methodology and performance evaluation 
theory for multimedia processing and joint optimization in wireless 
network, made significant contributions to the development of the basic 
theory for wireless multimedia communication. The project broke through 
the challenge for efficient video communications under the discontinuous 
transmission conditions, and effectively increased bandwidth efficiency. 
The outcome resulting from the project is particularly for the design of 
future wireless video, mobile multimedia systems, as well as 
next-generation wireless networks.",Prof Qian ZHANG Won China's State Science and Technology Awards
,"HKUST is ranked top in Hong Kong again in the field of Computer Science 
by QS World University Ranking 2012. A further leap has been taken from 
26th last year to 13th this year. The ranking manifests the effort and 
achievement all CSE members. See ,.","HKUST Maintains the Top Position in Computer Science in Hong Kong in 
the QS World University Ranking 2012"
,"HKUST is ranked no. 1 again in Greater China Region in the field of 
Computer Science by Academic Ranking of World Universities (ARWU). It is 
the consecutively third year in which HKUST occupies the top position in 
Greater China Region. Among the top universities worldwide, HKUST is 
ranked no. 26. See ,.","HKUST Continuously Ranked No. 1 in Computer Science in Greater China 
Region in the Ranking of ARWU 2012"
,"The Student Ambassador Program was launched by the School of 
Engineering in 2006. In the past few years, Student Ambassadors 
representing the Department of Computer Science and Engineering have 
actively participated in different outreach and recruitment activities, 
and have helped promoting Computer Science to the public.,This year, we are pleased to announce that four CSE undergraduates who 
have demonstrated outgoing personality and strong enthusiasm have been 
selected from the Department of Computer Science and Engineering to serve 
for one year (from March 2012 to February 2013). In the coming year, they 
will represent our department to promote the programs locally.,The 4 Student Ambassadors this year are:",Student Ambassador Program 2012
,"The Professor Samuel Chanson Scholarship Fund was jointly set up by the 
family of Professor Samuel Chanson and the HKUST, in memory of Professor 
Chanson.,The fund has been used to set up a number of scholarships and awards, 
namely Professor Samuel Chanson Academic Excellence Scholarship, Professor 
Samuel Chanson Most Improved Student Award, Professor Samuel Chanson Best 
Final Year Project Awards and Professor Samuel Chanson Best Teaching 
Assistant Awards, to benefit HKUST students and teaching assistants.,In Academic Year 2011-12, the scholarship and awards are given to the 
following students and TA in recognition of their great work during the 
year:, held on September 27, 2012.",Professor Samuel Chanson Scholarship & Awards (2011-12)
,"CSE accepted the invitation to join the SIGGRAPH Asia 2011 Exhibition 
during 12-15 December 2011. In the exhibition, products and services from 
various sectors related to the computer graphics and interactive 
technologies were showcased. The real-time ink dispersion painting 
software developed by PhD graduate Mr. Nelson CHU and the video on the 
researches of the Vision and Graphics Group were showcased in the 
exhibition.",CSE Vision and Graphics Group Joined SIGGRAPH Asia 2011
,"Two teams of CSE PG students won the championships in the recent Nokia 
Mobile Data Challenge 2012. Yin ZHU, Erheng ZHONG, and Bin WU were awarded 
the championship in the task ""Semantic Place Prediction"" with their 
project ""Feature Engineering for Place Category Classification"". Ben TAN, 
Erheng ZHONG, and Kai Xiang MO were awarded another championship in the 
task ""Demographic Prediction"" with their project ""Your Phone Understands 
You"". Both teams were supervised by ,.,The competition was attended by more than 200 teams worldwide to mine 
the Nokia data. See the ,.",Two Championships in Nokia Mobile Data Challenge 2012
,"The paper, ""Predicting Recurring Crash Stacks"" by PhD student Hyunmin 
SEO and Prof Sunghun KIM, has received the ACM SIGSOFT Distinguished Paper 
Award at the 27th IEEE/ACM International Conference on Automated Software 
Engineering (ASE). This is the second time for Prof Kim to win the 
prestigious award.,Hyunmin and Prof Kim identified many recurring crashes after crash 
fixes and proposed an effective algorithm to identify these recurring 
crashes in advance for easy debugging.,The ACM SIGSOFT Distinguished Paper Award is the most prestigious 
software engineering conference paper award. The award is given to the 
selected papers from SIGSOFT sponsored premier software engineering 
conferences, including ICSE, FSE, ASE, and ISSTA. Only around 10% of 
accepted papers (1-2% of submitted papers) are selected for the award. "", is one of the most premier Software Engineering conferences 
worldwide. Each year, it brings together researchers and practitioners 
from academia and industry to discuss foundations, techniques and tools 
for automating the analysis, design, implementation, testing, and 
maintenance of large software systems.""","PhD Student Hyunmin SEO and Prof Sunghun KIM Awarded the ACM SIGSOFT 
Distinguished Paper Award at the 27th IEEE/ACM International Conference on 
ASE"
,"UG graduate CHEN Qifeng was ranked the 12th in the Google Code Jam 
World Final 2012 in New York, which is the best record made by Hong Kong 
students since the competition started in 2003. This year 35,000 
professionals and students participated in the contest. Only the top 25 
were invited to the world final in New York.,Qifeng attributed his outstanding performance to his experience of 
being a leader in the ACM-ICPC Programming Team of HKUST. His programming 
skill and logical thinking were drastically improved under his 4-year 
intensive study and participation in the University Research Opportunities 
Program at HKUST.","UG Graduate CHEN Qifeng Broke Hong Kong Record in Google Code Jam 
World Final 2012"
," has been elected as one of the 
awardees for the Chinese Young Scientist Award jointly by the China 
Association of Science and the State Personnel Organization 
Department.,The key purpose of the award is to recognize young scientists who have 
made outstanding achievements in the national economic development, social 
progress, and technological innovation. The award was established in 1987. 
It takes place once per two years and not more than 100 awardees are 
selected each time. This year Prof Zhang is the only awardee from Hong 
Kong.,More information about the ,.",Prof Qian ZHANG Awarded the Chinese Young Scientist Award
,"The School of Engineering has established PhD Research Excellence 
Awards to recognize the outstanding research achievements of its 
engineering PhD students and recent graduates. The award is granted to 
those who have made significant and influential contributions to knowledge 
in the discipline during their PhD studies. This year, 31 nominations were 
received. The nominees were all with top performance in their discipline 
during their PhD study. The Engineering Research Committee, comprising of 
Prof Ajay Joneja (Chair), Prof Ping Gao, Prof Limin Zhang, Prof Qiang 
Yang, Prof Vincent Lau, and Prof Ricky Lee, conducted a rigorous selection 
exercise and 3 recipients were identified. CSE PhD Dr. Yu ZHANG is one of 
the recipients.,More information can be found in the ,.",CSE PhD Dr Yu Zhang Awarded SENG PhD Research Excellence Award
,", Professor of Computer Science 
and Engineering, has been elected as IEEE Fellow for her contributions to 
the mobility and spectrum management of wireless networks and mobile 
communications.,IEEE Fellow is the highest grade of membership and is recognized by the 
technical community as a prestigious honor and an important career 
achievement. The IEEE Grade of Fellow is conferred by the IEEE Board of 
Directors upon a person with an outstanding record of accomplishments in 
any of the IEEE fields of interest following a very rigorous review. The 
total number selected in any one year cannot exceed , of the 
total voting membership. The IEEE is the world's leading professional 
association for advancing technology for humanity. Through its 
, members in , countries, the association is a 
leading authority on a wide variety of areas ranging from aerospace 
systems, computers and telecommunications to biomedical engineering, 
electric power, and consumer electronics.",Professor Qian ZHANG Elected as IEEE Fellow
,"CSE PhD student Jie Dai and , received 
the Best Paper Award at IEEE GLOBECOM 2011 for their work ""Collaborative 
Caching for Video Streaming among Selfish Wireless Service Providers"".,""Collaborative Caching for Video Streaming among Selfish Wireless 
Service Providers"", partly supported by Huawei, explores the benefits of 
collaborative caching for wireless video streaming. The popularity of 
video streaming services is changing the landscape of mobile wireless 
industry with an increasing number of content providers offering streaming 
content to mobile users. Caching has been commonly used by wireless 
service providers to facilitate content dissemination. Yet, capacity 
provisioning of cache servers is challenging given dynamic user demands 
and limited wireless bandwidth available. This brings both challenges and 
opportunities towards a collaborative caching paradigm among cache servers 
that are deployed by different wireless service providers. This work 
proposes a collaborative caching mechanism that aims to maximize the 
social welfare in the context of Vickrey-Clarke-Groves (VCG) auction, 
which encourages cache servers to spontaneously cooperate for trading 
their resources in a self-enforcing manner. Results from experiments 
demonstrate that significant performance improvement can be obtained with 
respect to video streaming quality., is the IEEE 
Communications Society flagship conference. It was held in Houston, Texas 
during 5-9 December this year.","CSE PhD Student Jie DAI and Prof. Bo LI Awarded the Best Paper Award 
at IEEE GLOBECOM 2011"
,"CSE programming team has advanced to the ACM-ICPC World Finals 2012! It 
follows the remarkable triumph in this year's Regional Contests of the ACM 
International Collegiate Programming Contest (ACM-ICPC) in the Asia 
Regional Contests.  Our team got the 2nd place in the Phuket site and the 
3rd place in the Fukuoka site. It is the second consecutive year that we 
have advanced to the World Finals. It at the same time marks the 4th time 
in our short history.,The programming team ""HKUST Optimus Prime"" is comprised of CHEN Qifeng 
(COMP Yr. 3), LI Yuliang (COMP Yr. 3), and WANG Lu (CSE PhD Yr. 3), led by 
, and PG Coach HU Hao.,The 2012 World Finals will be held in Warsaw, Poland during 14-18 May.,See the ,.,Learn more about ,.,Learn more about the ,.",CSE Programming Team Entered the ACM-ICPC World Finals 2012
," gave an invited talk 
titled ""My Life with Android: User, Developer and Teacher"" sharing his 
experiences with teaching Android, developing Android applications and 
guiding student projects at the Hong Kong University of Science and 
Technology, at the recently held , at the 
Regal Kowloon Hotel on 1 Dec. 2011 and organized by the Hong Kong Google 
Technologies User Group (HK GTUG).,His talk highlighted some of his personal experiences with Android and 
shed light on some of the DOs and DON'Ts in Android application 
development. The event, attended by Google technologies enthusiasts from 
around Hong Kong, was sponsored by Google, PCCW and Master Concept.,Google Technology User Group (GTUG) is a user group for Google lovers; 
everything from Google like Android Apps, Google Apps for Business, 
Google+ and more.",Dr. Muppala Presents an Invited Talk at HK GTUG Day 2011
,"CSE programming team comprised of CHEN Qifeng, LI Yuliang, and NG Tsz 
Yeung led by Dr. Yi Ke won the championship in the ACM-HK Programming 
Contest 2011.,Every year, the Association for Computing Machinery (ACM) sponsors 
regional and international collegiate programming contests. They divide 
the world into several regions. Each region has a number of regional 
contests and only the top two or three teams in each regional contest 
enter into the world finals. Since 1991, the ACM Hong Kong Chapter has 
been organizing a local contest in Hong Kong, modeling after the ACM 
contests in terms of objectives, format, and style.,This year, 8 local tertiary institutes participated in this contest 
held on 16 July at the Caritas Institute of Higher Education. Each team 
was assigned six programming problems. The teams tried to solve as many of 
these problems as possible before the time limit. The team which correctly 
solved the most problems in the shortest time was the champion. To solve 
the problems, the teams have to combine a variety of algorithmic 
techniques with quick-and-dirty programming tricks. After 4 hours of 
intensive and competitive programming, the CSE team won the championship.","CSE Programming Team Won the Championship in the ACM-HK Programming 
Contest 2011"
